21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Beautiful student_second.py run
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Beautiful student_second.py / /tmp/hworker_check/Beautiful student_second.in
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/01@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: /tmp/hworker_check/Beautiful student_second.py run
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Set limits for python runner
21:01:45 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: /tmp/hworker_check/Beautiful student_second.py / /tmp/hworker_check/Beautiful student_second.in
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/02@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, c
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
21:01:45 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
